# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.1 Build 850 06/23/2022 SJ Lite Edition
# File: C:\Users\Deepak\Documents\MastersDegree\EmbeddedSystems\QuartusProjects\quartus_prime_projects\HomeWork4\HomeWork4.csv
# Generated on: Sun Oct 22 20:53:06 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
Input,Input,PIN_AB12,3A,B3A_N0,,,,,,,,,,,,,,
Input1,Input,PIN_AD11,3A,B3A_N0,,,,,,,,,,,,,,
Input2,Input,PIN_AD10,3A,B3A_N0,,,,,,,,,,,,,,
Input3,Input,PIN_AC12,3A,B3A_N0,,,,,,,,,,,,,,
Input4,Input,PIN_AD12,3A,B3A_N0,,,,,,,,,,,,,,
Input5,Input,PIN_AF9,3A,B3A_N0,,,,,,,,,,,,,,
Input6,Input,PIN_AE11,3A,B3A_N0,,,,,,,,,,,,,,
Input7,Input,PIN_AF10,3A,B3A_N0,,,,,,,,,,,,,,
Input8,Input,PIN_AC9,3A,B3A_N0,,,,,,,,,,,,,,
Outport,Output,PIN_W17,4A,B4A_N0,,,,,,,,,,,,,,
Outport1,Output,PIN_V16,4A,B4A_N0,,,,,,,,,,,,,,
Outport2,Output,PIN_W16,4A,B4A_N0,,,,,,,,,,,,,,
Outport3,Output,PIN_V17,4A,B4A_N0,,,,,,,,,,,,,,
Outport4,Output,PIN_V18,4A,B4A_N0,,,,,,,,,,,,,,
