# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.1 Build 850 06/23/2022 SJ Lite Edition
# File: C:\Users\Deepak\Documents\MastersDegree\EmbeddedSystems\QuartusProjects\quartus_prime_projects\LabOne\LabOnePinAssignment.csv
# Generated on: Wed Sep 20 18:58:16 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
LEDR[9],Output,PIN_Y21,5A,B5A_N0,PIN_AC30,,,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,PIN_J9,,,,,,,,,,,,,,
LEDR[7],Output,PIN_W20,5A,B5A_N0,PIN_C3,,,,,,,,,,,,,,
LEDR[6],Output,PIN_Y19,4A,B4A_N0,PIN_C9,,,,,,,,,,,,,,
LEDR[5],Output,PIN_W19,4A,B4A_N0,PIN_V25,,,,,,,,,,,,,,
LEDR[4],Output,PIN_W17,4A,B4A_N0,PIN_D12,,,,,,,,,,,,,,
LEDR[3],Output,PIN_V18,4A,B4A_N0,PIN_AA26,,,,,,,,,,,,,,
LEDR[2],Output,PIN_V17,4A,B4A_N0,PIN_C7,,,,,,,,,,,,,,
LEDR[1],Output,PIN_W16,4A,B4A_N0,PIN_A8,,,,,,,,,,,,,,
LEDR[0],Output,PIN_V16,4A,B4A_N0,PIN_A9,,,,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,PIN_Y26,,,,,,,,,,,,,,
SW[8],Input,PIN_AD10,3A,B3A_N0,PIN_J10,,,,,,,,,,,,,,
SW[7],Input,PIN_AC9,3A,B3A_N0,PIN_B3,,,,,,,,,,,,,,
SW[6],Input,PIN_AE11,3A,B3A_N0,PIN_C10,,,,,,,,,,,,,,
SW[5],Input,PIN_AD12,3A,B3A_N0,PIN_W25,,,,,,,,,,,,,,
SW[4],Input,PIN_AD11,3A,B3A_N0,PIN_D6,,,,,,,,,,,,,,
SW[3],Input,PIN_AF10,3A,B3A_N0,PIN_AD29,,,,,,,,,,,,,,
SW[2],Input,PIN_AF9,3A,B3A_N0,PIN_K14,,,,,,,,,,,,,,
SW[1],Input,PIN_AC12,3A,B3A_N0,PIN_D10,,,,,,,,,,,,,,
SW[0],Input,PIN_AB12,3A,B3A_N0,PIN_D11,,,,,,,,,,,,,,
