# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.1 Build 850 06/23/2022 SJ Lite Edition
# File: C:\Users\Deepak\Documents\MastersDegree\EmbeddedSystems\QuartusProjects\quartus_prime_projects\LabTwo\LabTwoPartV\LabTwoPartV.csv
# Generated on: Mon Oct  9 15:43:34 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
A[0],Input,PIN_AD11,3A,B3A_N0,PIN_AH2,,,,,,,,,,,,,,
A[1],Input,PIN_AD12,3A,B3A_N0,PIN_AA12,,,,,,,,,,,,,,
A[2],Input,PIN_AE11,3A,B3A_N0,PIN_AG11,,,,,,,,,,,,,,
A[3],Input,PIN_AC9,3A,B3A_N0,PIN_AG5,,,,,,,,,,,,,,
B[0],Input,PIN_AB12,3A,B3A_N0,PIN_AG10,,,,,,,,,,,,,,
B[1],Input,PIN_AC12,3A,B3A_N0,PIN_AH9,,,,,,,,,,,,,,
B[2],Input,PIN_AF9,3A,B3A_N0,PIN_AA13,,,,,,,,,,,,,,
B[3],Input,PIN_AF10,3A,B3A_N0,PIN_AF6,,,,,,,,,,,,,,
Cin,Input,PIN_AD10,3A,B3A_N0,PIN_AG1,,,,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,PIN_AC12,,,,,,,,,,,,,,
HEX0[1],Output,PIN_AE27,5A,B5A_N0,PIN_AG6,,,,,,,,,,,,,,
HEX0[2],Output,PIN_AE28,5A,B5A_N0,PIN_AJ1,,,,,,,,,,,,,,
HEX0[3],Output,PIN_AG27,5A,B5A_N0,PIN_AD12,,,,,,,,,,,,,,
HEX0[4],Output,PIN_AF28,5A,B5A_N0,PIN_AJ2,,,,,,,,,,,,,,
HEX0[5],Output,PIN_AG28,5A,B5A_N0,PIN_AG2,,,,,,,,,,,,,,
HEX0[6],Output,PIN_AH28,5A,B5A_N0,PIN_AG7,,,,,,,,,,,,,,
HEX1[0],Output,PIN_AJ29,5A,B5A_N0,PIN_AK4,,,,,,,,,,,,,,
HEX1[1],Output,PIN_AH29,5A,B5A_N0,PIN_V17,,,,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,PIN_V25,,,,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,PIN_AF13,,,,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,PIN_AE13,,,,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,PIN_AF11,,,,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,PIN_F15,,,,,,,,,,,,,,
HEX3[0],Output,PIN_AD26,5A,B5A_N0,PIN_AK6,,,,,,,,,,,,,,
HEX3[1],Output,PIN_AC27,5A,B5A_N0,PIN_AD14,,,,,,,,,,,,,,
HEX3[2],Output,PIN_AD25,5A,B5A_N0,PIN_AB13,,,,,,,,,,,,,,
HEX3[3],Output,PIN_AC25,5A,B5A_N0,PIN_AJ5,,,,,,,,,,,,,,
HEX3[4],Output,PIN_AB28,5B,B5B_N0,PIN_AB12,,,,,,,,,,,,,,
HEX3[5],Output,PIN_AB25,5A,B5A_N0,PIN_AE14,,,,,,,,,,,,,,
HEX3[6],Output,PIN_AB22,5A,B5A_N0,PIN_AK2,,,,,,,,,,,,,,
HEX5[0],Output,PIN_V25,5B,B5B_N0,PIN_AE7,,,,,,,,,,,,,,
HEX5[1],Output,PIN_AA28,5B,B5B_N0,PIN_AF8,,,,,,,,,,,,,,
HEX5[2],Output,PIN_Y27,5B,B5B_N0,PIN_AG3,,,,,,,,,,,,,,
HEX5[3],Output,PIN_AB27,5B,B5B_N0,PIN_AD7,,,,,,,,,,,,,,
HEX5[4],Output,PIN_AB26,5A,B5A_N0,PIN_AH3,,,,,,,,,,,,,,
HEX5[5],Output,PIN_AA26,5B,B5B_N0,PIN_AF4,,,,,,,,,,,,,,
HEX5[6],Output,PIN_AA25,5A,B5A_N0,PIN_AG8,,,,,,,,,,,,,,
LEDR9,Output,PIN_Y21,5A,B5A_N0,PIN_AH5,,,,,,,,,,,,,,
